subject,body,intent
Product information,Can you explain the features included in your standard plan?,inquiry
Business hours,What time is your support team available on weekends?,inquiry
Shipping question,How long does delivery usually take?,inquiry
Account requirements,What documents do I need to create an account?,inquiry
Compatibility question,Does your application work on Linux computers?,inquiry
Plan differences,What is the difference between the basic and premium plans?,inquiry
Data export,Can customers export their account data?,inquiry
International use,Is the service available outside India?,inquiry
Cancellation policy,Please explain how subscription cancellation works.,inquiry
Invoice question,Where can I download my monthly invoices?,inquiry
Trial duration,How many days does the free trial last?,inquiry
Team members,How many users can join one workspace?,inquiry
Cannot sign in,I cannot log in even after resetting my password.,support
Upload error,The document upload keeps failing with an error.,support
App crashes,The mobile application closes whenever I open settings.,support
Password reset,Please help me reset my account password.,support
Missing email,I am not receiving the verification email.,support
Sync issue,My changes are not syncing across devices.,support
Installation help,I need help installing the desktop application.,support
Dashboard blank,The dashboard loads but shows a blank screen.,support
Account blocked,My account is blocked and I need access urgently.,support
Service unavailable,The service is unavailable for our whole team.,support
Payment failed,My payment fails every time I try to renew.,support
Integration broken,The calendar integration stopped working today.,support
Very disappointed,The service has been unreliable and I am unhappy.,complaint
Poor customer service,I waited several days and nobody answered my request.,complaint
Incorrect order,You delivered the wrong item and this is unacceptable.,complaint
Repeated outages,We have experienced three outages this month.,complaint
Hidden fee,I was charged a fee that was never clearly disclosed.,complaint
Bad experience,The new update made the product much harder to use.,complaint
Late delivery,My order arrived a week later than promised.,complaint
Damaged package,The package arrived damaged and unusable.,complaint
Unresolved case,Support closed my case without solving the problem.,complaint
Billing frustration,Your billing system keeps making the same mistake.,complaint
Quality concern,The product quality is much lower than advertised.,complaint
Cancel ignored,I asked to cancel but was charged again.,complaint
Refund status,I returned my order and want to know the refund status.,refund
Refund not received,I requested a refund last week but have not received the amount yet.,refund
Duplicate charge,I was charged twice and need the extra payment refunded.,refund
Cancel and refund,Please cancel my subscription and return the latest payment.,refund
Wrong amount,The refund amount credited to me is incorrect.,refund
Return payment,When will the money for my returned item reach my account?,refund
Trial charge,I was billed after the trial and would like my money back.,refund
Refund denied,Why was my refund request rejected?,refund
Card credit,Please confirm when the refund will appear on my card.,refund
Accidental purchase,I bought the wrong plan by mistake and need a refund.,refund
Partial refund,I only received part of the promised refund.,refund
Refund receipt,Can you send confirmation for my completed refund?,refund
Request a demo,Our company would like to schedule a product demo.,sales
Enterprise pricing,Please send pricing for a team of one hundred users.,sales
Purchase licenses,We are interested in buying twenty annual licenses.,sales
Partnership opportunity,Would your company be open to a sales partnership?,sales
Volume discount,Do you offer discounts for large orders?,sales
Talk to sales,Please connect me with someone from your sales team.,sales
Product brochure,Could you send your latest product brochure?,sales
Custom plan,We need a quote for a custom enterprise plan.,sales
Renewal quote,Please provide a quote to renew our business subscription.,sales
